optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
nadam,16.1312,29.612,33.8966,2,43.5003,16,0.08248,0.95833
sgd,18.8313,29.5641,38.9856,2,348.0024,15,0.08402,0.97396
rmsprop,18.4797,29.6092,34.2542,2,43.5003,16,0.0751,0.95833
adadelta,19.5453,29.5869,34.0405,2,130.5009,10,0.67781,0.55208
adagrad,21.6484,29.6668,30.3124,2,43.5003,12,0.2888,0.82812
adam,22.8188,29.6244,31.4717,2,435.0031,16,0.16963,0.91667
adamax,17.7922,29.7048,34.172,2,217.5015,16,0.10163,0.96875
ftrl,18.2766,29.7091,39.7487,2,348.0024,16,0.33988,0.84375
nadam,17.9359,29.6587,42.9724,2,217.5015,16,0.10475,0.94271
sgd,20.8844,29.6813,28.7362,2,43.5003,16,0.04673,0.98438
rmsprop,16.9703,29.7391,32.0468,2,261.0018,16,0.07973,0.97396
adadelta,20.2734,29.7468,33.9492,2,348.0024,13,0.6084,0.59375
adagrad,20.125,29.9707,30.7275,2,391.5027,15,0.17736,0.94792
adam,16.0609,29.8339,32.5518,2,348.0024,16,0.09865,0.95833
adamax,18.425,29.9615,35.3491,2,87.0006,14,0.16088,0.92188
ftrl,16.6359,29.9346,35.4436,2,435.0031,15,0.24933,0.94271
nadam,18.9469,29.5531,32.3883,2,43.5003,16,0.06712,0.96875
sgd,21.9281,29.5227,25.5628,2,43.5003,14,0.06077,0.97917
rmsprop,18.5094,29.5579,32.7325,2,87.0006,16,0.14699,0.96354
adadelta,19.6609,29.5428,38.8534,2,348.0024,5,0.75194,0.54167
adagrad,16.0109,29.7212,37.4142,2,261.0018,16,0.23702,0.92188
adam,18.8359,29.6862,39.0933,2,348.0024,15,0.06883,0.98438
adamax,20.4625,29.8318,24.5982,2,87.0006,15,0.13369,0.96354
ftrl,20.1406,29.7843,32.468,2,304.5021,16,0.28284,0.89062
nadam,16.0594,29.7358,34.7984,2,130.5009,15,0.05732,0.97396
sgd,20.1641,29.7733,28.3982,2,43.5003,16,0.06639,0.97917
rmsprop,17.8219,29.8059,35.9459,2,348.0024,16,0.04845,0.98958
adadelta,17.4125,29.9096,40.8126,2,261.0018,10,0.84066,0.45833
adagrad,17.65,29.9752,36.5513,2,391.5027,16,0.35146,0.85417
adam,17.9641,29.8119,35.6676,2,174.0012,16,0.09997,0.95312
adamax,18.175,30.0019,29.4731,2,43.5003,16,0.08913,0.98438
ftrl,17.1953,29.9595,35.1386,2,217.5015,16,0.30004,0.89583
nadam,17.7391,29.9564,37.8712,2,435.0031,16,0.11826,0.95312
sgd,19.25,29.9555,35.3302,2,348.0024,16,0.0891,0.96875
rmsprop,19.8844,30.0843,27.5265,2,130.5009,16,0.04969,0.99479
adadelta,21.2047,29.9678,30.0466,2,43.5003,4,0.99329,0.47917
adagrad,18.9,29.9781,33.3091,2,87.0006,16,0.27374,0.85938
adam,19.2312,30.1397,39.6408,2,348.0024,16,0.12209,0.9375
adamax,18.5344,30.1386,38.6368,2,348.0024,15,0.2078,0.90625
ftrl,19.6359,30.1656,38.7409,2,435.0031,16,0.27237,0.89062
nadam,16.7469,29.9386,33.4906,2,261.0018,15,0.06193,0.98438
sgd,18.7,29.9613,37.8879,2,391.5027,14,0.06846,0.96875
rmsprop,17.6437,29.878,41.6812,2,391.5027,15,0.10919,0.95833
adadelta,18.5375,30.0815,33.3854,2,174.0012,5,0.96867,0.42188
adagrad,21.1313,30.3551,27.4842,2,87.0006,15,0.26221,0.92708
adam,20.2125,30.431,32.2209,2,87.0006,16,0.06458,0.97396
adamax,17.8625,30.4309,31.413,2,304.5021,16,0.15902,0.93229
ftrl,20.0375,29.9974,32.247,2,391.5027,15,0.25638,0.88542
nadam,16.5062,29.9275,32.8383,2,87.0006,14,0.07668,0.96354
sgd,18.3062,29.9258,28.8438,2,43.5003,16,0.09479,0.95833
rmsprop,18.9062,30.2582,29.6174,2,174.0012,16,0.08235,0.96875
adadelta,16.8625,30.1203,37.0649,2,174.0012,7,0.72338,0.51562
adagrad,17.8563,30.2982,33.9942,2,391.5027,13,0.36038,0.81771
adam,18.6953,30.21,32.6524,2,217.5015,15,0.07436,0.97396
adamax,17.8016,30.2321,38.1859,2,391.5027,15,0.12307,0.94271
ftrl,17.4156,30.3445,35.7513,2,261.0018,14,0.29503,0.89583
nadam,21.0625,30.2265,31.4931,2,391.5027,16,0.11003,0.95312
sgd,19.0422,30.2883,36.3928,2,435.0031,16,0.09647,0.95312
rmsprop,17.4953,30.1302,37.0015,2,391.5027,16,0.07162,0.98438
adadelta,18.8531,30.4586,29.559,2,304.5021,2,0.93714,0.375
adagrad,19.1484,30.2744,31.4669,2,43.5003,13,0.21652,0.94792
adam,16.0594,30.2083,32.9798,2,130.5009,16,0.08106,0.96354
adamax,20.5453,30.2911,33.0837,2,391.5027,15,0.16291,0.93229
ftrl,17.9984,30.2451,33.4656,2,130.5009,14,0.27218,0.93229
nadam,17.7766,30.2396,35.4347,2,304.5021,16,0.10781,0.95833
sgd,19.0391,30.2385,36.315,2,261.0018,16,0.12234,0.95833
rmsprop,20.9844,30.2603,34.3488,2,391.5027,16,0.10506,0.96354
adadelta,18.5828,30.1796,35.7556,2,174.0012,12,0.63775,0.66146
adagrad,18.3312,30.4297,34.7516,2,348.0024,15,0.29369,0.88542
adam,18.8203,30.1968,35.5248,2,87.0006,16,0.07309,0.98438
adamax,19.4125,30.2815,37.0926,2,174.0012,16,0.14434,0.94792
ftrl,18.1453,30.2772,31.1073,2,43.5003,15,0.27412,0.89062
nadam,21.3563,30.277,29.3354,2,435.0031,15,0.11547,0.9375
sgd,18.2047,30.3574,36.6732,2,261.0018,14,0.09566,0.94271
rmsprop,18.0031,30.3824,31.7119,2,261.0018,16,0.11774,0.96354
adadelta,18.5688,30.3632,30.3546,2,261.0018,5,0.87139,0.47396
adagrad,18.1453,30.3704,40.1838,2,304.5021,14,0.33155,0.85417
adam,18.6828,30.4464,37.1963,2,217.5015,16,0.11007,0.95312
adamax,18.2688,30.0406,29.8799,2,43.5003,14,0.1185,0.96354
ftrl,19.7641,30.0069,32.7335,2,130.5009,16,0.25143,0.91667
nadam,18.9031,30.1841,32.0455,2,304.5021,16,0.09159,0.95833
sgd,18.7766,30.2644,33.4002,2,304.5021,15,0.09007,0.97917
rmsprop,18.8703,30.2416,37.2111,2,391.5027,15,0.01889,0.99479
adadelta,17.675,30.2645,36.3572,2,348.0024,7,0.86682,0.45833
adagrad,19.3297,30.4152,35.8233,2,391.5027,12,0.50328,0.625
adam,18.5312,30.5879,33.4862,2,87.0006,16,0.05297,0.97917
adamax,19.8703,30.3612,32.0487,2,217.5015,16,0.1682,0.94271
ftrl,18.85,30.2226,34.2376,2,391.5027,15,0.27371,0.90625
nadam,18.2687,30.2381,40.5269,2,435.0031,16,0.07738,0.96354
sgd,20.4781,30.306,29.8522,2,348.0024,16,0.09551,0.96875
rmsprop,17.9734,30.5152,32.5043,2,130.5009,16,0.03504,0.99479
adadelta,18.8094,30.6304,31.3322,2,130.5009,13,0.5443,0.69792
adagrad,17.3453,30.1301,31.5781,2,43.5003,15,0.24455,0.89062
adam,18.1469,30.3142,36.8887,2,348.0024,15,0.10614,0.96875
adamax,18.0594,30.3372,39.4595,2,174.0012,16,0.12365,0.95833
ftrl,15.0141,30.4706,39.009,2,435.0031,16,0.23529,0.92708
nadam,19.0812,30.2898,36.9509,2,261.0018,13,0.10141,0.96354
sgd,18.1016,30.3329,33.6157,2,174.0012,16,0.08813,0.97396
rmsprop,17.7188,30.4662,35.0451,2,435.0031,15,0.05497,0.98438
adadelta,19.5734,30.4413,32.439,2,87.0006,12,0.63149,0.55729
adagrad,18.7203,30.3668,33.4157,2,261.0018,16,0.21428,0.9375
adam,18.0141,30.4184,32.2323,2,348.0024,14,0.10225,0.95312
adamax,20.6609,30.4253,29.299,2,87.0006,15,0.09006,0.96875
ftrl,17.9344,30.4136,33.8823,2,174.0012,16,0.25885,0.88021
nadam,17.3609,30.46,44.5316,2,348.0024,15,0.0773,0.97396
sgd,17.7703,30.6132,29.0662,2,43.5003,15,0.07042,0.97917
rmsprop,18.1562,30.3347,36.6565,2,348.0024,16,0.09325,0.96354
adadelta,17.5859,30.3766,36.1966,2,435.0031,11,0.74698,0.51042
adagrad,18.8062,30.407,31.2676,2,130.5009,16,0.28508,0.89583
adam,17.1219,30.5598,38.6455,2,435.0031,16,0.10007,0.97917
adamax,19.7234,30.4584,28.7942,2,130.5009,16,0.1105,0.97396
ftrl,17.5906,30.5454,34.9248,2,174.0012,16,0.29448,0.91667
nadam,18.2953,30.4912,28.8889,2,87.0006,15,0.09048,0.96875
sgd,21.6562,30.5417,37.862,2,348.0024,16,0.0991,0.96354
rmsprop,18.3594,30.5439,30.9205,2,87.0006,15,0.03973,0.98438
adadelta,18.3125,30.4718,34.9896,2,261.0018,8,0.76966,0.58333
adagrad,19.8453,30.4249,33.6176,2,130.5009,14,0.28302,0.83333
adam,19.6078,30.5311,36.3216,2,217.5015,15,0.11547,0.94271
adamax,21.1906,30.478,33.374,2,304.5021,16,0.15588,0.94271
ftrl,18.4828,30.4892,36.7066,2,348.0024,14,0.27782,0.91667
nadam,18.0359,30.4697,37.1129,2,348.0024,15,0.0752,0.96875
sgd,17.0109,30.5278,43.1591,2,391.5027,16,0.12785,0.93229
rmsprop,19.5422,30.5787,31.3589,2,174.0012,16,0.00894,1.0
adadelta,17.0672,30.5848,37.6385,2,348.0024,11,0.69207,0.53646
adagrad,18.9125,30.5794,33.2009,2,130.5009,16,0.33551,0.80729
adam,20.4531,30.5385,34.4406,2,174.0012,16,0.06213,0.97396
adamax,17.0266,30.5583,33.6296,2,217.5015,16,0.18279,0.94271
