optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
adagrad,53.625,31.15,33.1483,2,261.0018,15,0.43793,0.72396
adam,52.0,52.675,34.9564,2,174.0012,15,0.08195,0.96354
adamax,58.775,45.3,35.9908,2,435.0031,14,0.14538,0.9375
ftrl,60.475,51.925,32.6217,2,304.5021,16,0.29371,0.90625
nadam,62.275,45.85,39.5115,2,435.0031,16,0.09864,0.96354
sgd,52.1,49.5,38.9465,2,217.5015,16,0.03832,1.0
rmsprop,53.15,39.2,36.3731,2,217.5015,15,0.02012,0.99479
adadelta,60.175,35.675,31.2233,2,130.5009,9,0.75184,0.63021
adagrad,56.425,42.2,38.611,2,435.0031,14,0.29096,0.88021
adam,56.15,48.9,29.2372,2,87.0006,16,0.06196,0.97396
adamax,59.825,46.0,33.6589,2,130.5009,16,0.15673,0.93229
ftrl,56.3,33.575,30.4011,2,43.5003,15,0.21414,0.94271
nadam,59.725,48.4,39.054,2,304.5021,16,0.0733,0.98438
sgd,53.6,57.55,35.6758,2,435.0031,16,0.08367,0.95312
rmsprop,50.625,28.625,36.1662,2,391.5027,16,0.09625,0.97917
adadelta,57.75,53.15,34.1827,2,217.5015,8,0.86074,0.43229
adagrad,60.525,51.675,33.302,2,174.0012,15,0.30864,0.83854
adam,56.775,46.675,44.1296,2,174.0012,16,0.10852,0.95833
adamax,54.825,49.325,34.2719,2,261.0018,15,0.13325,0.94792
ftrl,58.575,45.575,38.4416,2,217.5015,16,0.3182,0.91667
nadam,51.25,50.1,35.6071,2,435.0031,16,0.07568,0.96875
sgd,52.925,45.45,38.0918,2,130.5009,15,0.04319,0.98958
rmsprop,58.5,55.875,36.071,2,261.0018,16,0.09995,0.96875
adadelta,60.05,24.475,39.8563,2,348.0024,7,0.72895,0.52083
adagrad,59.825,31.675,31.4767,2,87.0006,15,0.2427,0.92188
adam,46.95,41.775,34.8692,2,261.0018,16,0.09472,0.97396
adamax,59.025,34.25,30.0022,2,87.0006,16,0.0984,0.96875
ftrl,59.475,24.975,34.8541,2,261.0018,16,0.23649,0.9375
nadam,59.45,48.35,35.4124,2,217.5015,16,0.0722,0.96875
sgd,59.65,54.375,36.6867,2,435.0031,15,0.09833,0.95833
rmsprop,54.925,23.625,37.0068,2,217.5015,16,0.08133,0.97917
adadelta,55.85,45.525,37.8388,2,130.5009,7,0.92036,0.49479
adagrad,61.725,27.375,32.7644,2,261.0018,15,0.26202,0.86979
adam,57.75,44.575,35.7994,2,130.5009,15,0.07574,0.97396
adamax,61.225,23.65,31.0756,2,261.0018,16,0.16543,0.9375
ftrl,54.925,27.875,34.7962,2,87.0006,16,0.21954,0.94792
nadam,59.775,48.775,37.7583,2,435.0031,16,0.07458,0.98958
sgd,57.225,51.35,40.9332,2,130.5009,15,0.07065,0.96875
rmsprop,37.2,48.475,32.9104,2,43.5003,16,0.08261,0.97396
adadelta,43.975,46.575,41.9079,2,435.0031,11,0.54005,0.69792
adagrad,54.95,35.95,32.7207,2,130.5009,15,0.3393,0.83854
adam,61.75,48.625,38.9267,2,87.0006,16,0.05952,0.98958
adamax,38.6,52.5,29.3104,2,43.5003,15,0.0955,0.97396
ftrl,53.175,58.65,28.7202,2,391.5027,16,0.19923,0.96354
nadam,55.0,53.525,33.5779,2,435.0031,16,0.09742,0.97396
sgd,62.925,34.5,33.3656,2,87.0006,16,0.09545,0.94271
rmsprop,62.525,45.175,37.0491,2,391.5027,15,0.14854,0.95312
adadelta,57.925,28.0,37.5027,2,348.0024,9,0.77725,0.47917
adagrad,42.875,47.45,38.413,2,217.5015,16,0.28767,0.88021
adam,57.575,30.5,36.661,2,304.5021,16,0.06775,0.98958
adamax,52.425,50.55,37.2922,2,261.0018,13,0.16893,0.9375
ftrl,58.5,65.0,32.516,2,261.0018,15,0.32389,0.86458
nadam,59.55,30.925,34.8737,2,261.0018,16,0.11841,0.93229
sgd,53.6,44.975,36.1798,2,217.5015,15,0.07892,0.98438
rmsprop,58.225,46.55,35.9977,2,87.0006,14,0.17667,0.96354
adadelta,55.825,38.125,34.179,2,304.5021,9,0.80313,0.47396
adagrad,61.325,64.175,28.0074,2,87.0006,15,0.23519,0.91146
adam,61.8,23.825,42.7358,2,435.0031,15,0.14046,0.95312
adamax,54.825,45.0,35.9728,2,304.5021,16,0.17809,0.92188
ftrl,57.75,52.3,34.1178,2,391.5027,14,0.32788,0.86458
nadam,61.0,48.5,36.0424,2,130.5009,16,0.05532,0.98438
sgd,59.5,34.25,39.085,2,348.0024,16,0.14746,0.9375
rmsprop,57.9,47.6,33.7391,2,304.5021,15,0.07417,0.96875
adadelta,46.25,58.375,33.6967,2,348.0024,9,0.87247,0.38021
adagrad,50.725,50.425,32.4001,2,261.0018,16,0.23962,0.90625
adam,57.9,34.35,29.1798,2,130.5009,16,0.05319,0.98438
adamax,52.25,61.825,38.9579,2,87.0006,16,0.10854,0.96354
ftrl,58.5,43.325,34.6269,2,304.5021,16,0.25732,0.90104
nadam,53.225,52.85,35.3298,2,435.0031,15,0.1015,0.95833
sgd,50.55,62.725,27.5343,2,43.5003,16,0.08657,0.95833
rmsprop,50.575,57.725,28.0316,2,87.0006,16,0.11232,0.95312
adadelta,58.275,43.575,36.7571,2,348.0024,13,0.61589,0.63021
adagrad,50.65,51.125,34.4142,2,130.5009,15,0.29973,0.90625
adam,59.45,35.05,29.4958,2,43.5003,16,0.08052,0.97396
adamax,48.175,56.05,32.0056,2,87.0006,16,0.10394,0.97396
ftrl,53.025,27.9,38.4638,2,391.5027,16,0.35365,0.85938
nadam,51.025,55.375,26.7417,2,43.5003,16,0.04734,0.98958
sgd,55.475,36.8,30.7711,2,435.0031,16,0.13461,0.91667
rmsprop,59.525,44.925,35.8464,2,348.0024,16,0.11577,0.95833
adadelta,61.875,36.075,34.8471,2,391.5027,15,0.5289,0.70833
adagrad,59.6,52.775,29.0189,2,130.5009,16,0.26112,0.88021
adam,42.35,20.725,38.7688,2,435.0031,16,0.09414,0.96354
adamax,55.025,55.7,32.3138,2,261.0018,16,0.19245,0.9375
ftrl,60.525,45.325,39.4304,2,261.0018,15,0.33424,0.875
nadam,58.175,51.3,36.122,2,43.5003,16,0.06974,0.97396
sgd,44.05,52.925,27.9767,2,87.0006,16,0.06282,0.98438
rmsprop,58.325,47.8,34.7976,2,348.0024,16,0.10645,0.95312
adadelta,51.175,58.125,31.6432,2,348.0024,6,0.84299,0.45833
adagrad,55.675,57.25,33.5406,2,348.0024,15,0.37267,0.79688
adam,45.925,46.525,32.1108,2,261.0018,16,0.06337,0.98438
adamax,61.525,47.5,36.1178,2,130.5009,15,0.07009,0.98438
ftrl,43.025,43.1,40.0571,2,130.5009,16,0.21638,0.94271
nadam,61.175,63.325,30.7143,2,304.5021,16,0.1285,0.95312
sgd,61.3,39.2,30.8212,2,391.5027,15,0.07326,0.98438
rmsprop,36.425,46.5,41.3606,2,435.0031,16,0.05024,0.97396
adadelta,59.7,53.025,32.6653,2,174.0012,7,0.99085,0.30729
adagrad,53.325,46.225,32.4037,2,174.0012,16,0.37687,0.75
adam,50.325,47.5,33.8717,2,174.0012,16,0.06806,0.96875
adamax,48.1,53.7,29.9559,2,130.5009,16,0.08931,0.98438
ftrl,52.725,56.975,33.0023,2,304.5021,16,0.25427,0.90625
